Titular,Cuerpo,Fecha_Publicada,N_Parrafos
Israel halla instalaciones de Hizbulá a 200 metros de una base de la FINUL en Líbano,"
        Jerusalén, 8 nov (EFE).- El Ejército de Israel aseguró este viernes haber hallado un centro de entrenamiento del grupo chií Hizbulá a 200 metros de una base de la misión de la ONU en Líbano, la FINUL, con la que ha mantenido varios incidentes desde principios de octubre en los que soldados israelíes han atacado a los cascos azules.
    

        “Los milicianos utilizaban el complejo para entrenar, estudiar y almacenar grandes cantidades de armas”, recogió un comunicado de las fuerzas armadas hoy, según el cual en el lugar también había lanzaderas de cohetes preparadas para atacar territorio israelí.
    

        En la redada al lugar, las tropas encontraron también documentos que describen pautas de actuación de Hizbulá, mapas de Israel, información sobre los equipamientos del Ejército israelí, trampillas a túneles y más armas.
    

        “El complejo fue desmantelado”, termina el comunicado.
    

        Desde que Israel lanzó su invasión en el sur del Líbano en la madrugada del 1 de octubre, las autoridades han apelado en varias ocasiones a la FINUL a abandonar la región, a lo que esta misión de Naciones Unidas se ha negado.
    

        Mientras tanto, se han producido numerosos incidentes entre las tropas israelíes y los cascos azules o las instalaciones en las que se encontraban.
    

        Ayer, cinco operativos de la FINUL resultaron heridos cuando viajaban en un coche por la ciudad sureña de Sidón, al verse afectado por un ataque con drones israelí que mató a otras tres personas.
    

        A lo largo de octubre, la misión denunció otros incidentes. Un proyectil israelí impactó en uno de ellos en su base en la ciudad de Naqoura e hirió a dos cascos azules, y el pasado 13 de octubre dos tanques israelíes entraron en instalaciones de la FINUL en el área de Ranyah.
    

        El pasado 29 de octubre, otros ocho cascos azules resultaron heridos leves por el impacto de un proyectil de Israel en una base en Naqoura.
    

        Más de un año de intercambio de fuego entre Israel e Hizbulá en torno a la frontera con Líbano ha acabado con la vida de más de 3.000 personas en este país, la mayoría desde que el Ejército israelí intensificó su campaña de bombardeos contra el país vecino el pasado 23 de septiembre. Las fuerzas armadas estiman que unos 1.500 eran milicianos del grupo chií.
    

        Del lado israelí, 73 personas han fallecido por ataques lanzados desde Líbano, de las cuales 43 eran civiles. Además, 34 soldados han muerto en combate en el sur del país vecino, donde mantienen una invasión terrestre desde el pasado 1 de octubre.
    ",8 de noviembre de 2024,11
Ascienden a 40 los muertos en una oleada de bombardeos de Israel contra el este del Líbano,"
        Beirut, 6 nov (EFE).- Al menos 40 personas murieron y otras 53 resultaron heridas este miércoles en una oleada de bombardeos efectuados por Israel contra la región de Baalbek-Hermel, en el este del Líbano, en una de las jornadas más violentas contra esta zona desde el inicio de la campaña aérea israelí hace poco más de un mes.
    

        El gobernador de esta región nororiental, Bachir Khodr, dijo en su cuenta de X que este saldo de víctimas fue el resultado de “40 incursiones aéreas” realizadas por la aviación israelí contra Baalbek-Hermel, donde “todavía continúan los trabajos de remoción de escombros en más de un lugar atacado”.
    

        Según el Ministerio de Salud Pública, el mayor número de víctimas se registró en la localidad de Al Naseriya, cercana al paso fronterizo de Masnaa, entre Siria y el Líbano, donde 16 personas murieron y 17 resultaron heridas.
    

        Asimismo, al menos nueve personas perecieron y otras quince resultaron heridas en un bombardeo contra el barrio de Al Shaiqan de la histórica ciudad de Baalbek, una población que el Ejército israelí ha ordenado evacuar en múltiples ocasiones en los últimos días.
    

        El Ministerio también registró fallecidos y heridos en otras siete localidades: Tamnine al Tahta, Al Ram, Al Sharqi, Al Shawagir, Al Ain, Al Ansar, Balmira y Al Nasiriya.
    

        Anteriormente, la Agencia Nacional de Noticias libanesa (NNA) también había informado de víctimas en la localidad fronteriza con Siria de Mishrifa, al norte de Hermel.
    

        El Ministerio advierte que las operaciones de rescate continúan en marcha y que continúa la búsqueda de desaparecidos entre los escombros.
    

        En las últimas semanas Israel ha intensificado sus bombardeos contra el este del Líbano y contra zonas fronterizas con Siria -también en territorio sirio- puesto que el Ejército del Estado judío alega que el grupo chií libanés Hizbulá almacena armas y municiones en esa región oriental del país de los cedros.
    

        Más de 3.050 personas han muerto y otras 1,2 millones se han visto desplazadas solo en el Líbano desde el inicio de los choques entre Israel y Hizbulá el 8 de octubre de 2023, un día después del estallido de la guerra en la Franja de Gaza.
    

        Sin embargo, se estima que alrededor de 2.000 personas han muerto solo desde el 23 de septiembre, cuando el Ejército israelí lanzó una campaña de bombardeos masiva contra diferentes puntos del Líbano y, una semana después, inició la invasión terrestre en el sur.
    ",7 de noviembre de 2024,10
Al menos 60 muertos en bombardeos israelíes contra Líbano desde el martes por la noche,"
        Desde el martes por la noche hasta el miércoles por la tarde, los ataques aéreos de Israel han dejado decenas de víctimas mortales, además de heridos, según distintas fuentes.
    

        La Defensa Civil libanesa, que se encarga del rescate de muertos y heridos, ha recuperado 30 cuerpos de debajo de los escombros de un edificio de apartamentos en la localidad de Barja, tal y como recoje la agencia de noticias AP. El ataque tuvo lugar en la noche del martes, sin aviso previo, según AP.
    

        Barja se encuentra al sur de Beirut y no ha sido un blanco habitual de los ataques israelíes desde que comenzó la ofensiva contra Líbano a finales de septiembre. Su población es mayoritariamente suní, mientras que la aviación israelí ha tenido como objetivo las zonas de mayoría chií, donde el grupo Hizbulá tiene una mayor presencia y apoyo.
    

        Precisamente, este miércoles Israel ha atacado la provincia de Baalbek Hermel, en el este de Líbano y considerado uno de los bastiones de Hizbulá. Al menos 30 personas han muerto y 35 han sufrido heridas en un total de 20 bombardeos israelíes contra la provincia, tal y como ha anunciado su gobernador a través de la red social X. Bachir Khodr no ha ofrecido más detalles.
    

        Por su parte, el Ejército israelí no ha informado de los ataques contra la provincia de Baalbek Hermel, pero sí ha notificiado el lanzamiento de 120 proyectiles desde Líbano contra Israel hasta las 16.00 horas locales (15.00 en España) del día de hoy.
    

        Según la Agencia Nacional de Noticias libanesa (ANN), al menos cinco personas murieron en un bombardeo contra el barrio de Al Shaiqan de la histórica ciudad de Baalbek, una población que el Ejército israelí ha ordenado evacuar en múltiples ocasiones en los últimos días.
    

        La ANN, citada por la Agencia EFE, ha indicado que otras siete personas perdieron la vida en la localidad fronteriza con Siria de Mishrifa, donde los equipos de rescate también han contabilizado “varios heridos” y continúan con los trabajos de desescombro, por lo que el número de víctimas mortales podría aumentar.
    

        Por otra parte, un ataque aéreo efectuado a primera hora de la mañana contra la ciudad de Al Ain, en el oriental Valle de la Bekaa, ha provocado otros siete muertos, dos heridos y la “destrucción completa de una casa”, según la ANN.
    

        En las últimas semanas Israel ha intensificado sus bombardeos contra el este del Líbano y contra zonas fronterizas con Siria, alegando que Hizbulá almacena armas y municiones en esa región oriental del país; en el pasado, ha acusado al grupo chií de recibir ese armamento desde Irán, a través de territorio sirio.
    
Solo respondemos ante socios y socias: ante personas como tú que creen que nuestro trabajo importa. Por eso, si nos lees habitualmente y crees en el periodismo con valores, pedimos tu colaboración para que podamos seguir siendo independientes.  Te llevará menos de un minuto y puedes hacerlo desde aquí con cuotas que van desde 1 € al mes.Aunque parezca una cantidad pequeña, sumada a las de muchas más personas, es lo que hace posible que existamos.Muchas personas, con pequeñas decisiones, pueden hacer grandes cosas.Haz posible el periodismo independiente.


        A última hora de este miércoles, Israel ha atacado una vez más los suburbios sur de Beirut, que han sido duramente golpeados por la aviación y donde fue asesinado el líder de Hizbulá Hasán Nasrala a finales de septiembre. El Ejército israelí ha informado de que ha atacado “centros de mando, almacenes de armas e infraestructura terrorista en el área de Dahie”, tal y como se denomina la gran barriada al sur de la capital.
    

        Desde octubre del año pasado, cuando Hizbulá e Israel empezaron a intercambiarse fuego casi a diario, han fallecido en Líbano 3.050 personas y más de 13.000 han resultado heridas, la gran mayoría en las pasadas semanas, desde que el Ejército hebreo emprendió su campaña de bombardeos e invadió por tierra el sur del país vecino.
    ",6 de noviembre de 2024,13
Nuevos bombardeos al sur de Beirut tras 40 muertos en oleada de ataques al este del Líbano,"
        Beirut, 7 nov (EFE).- Aviones de combate israelíes lanzaron este jueves varios bombardeos contra suburbios al sur de Beirut, según la cadena de televisión libanesa Al Jadeed, después de que al menos 40 personas murieran tras los ataques del Ejército israelí el miércoles contra la región de Baalbek-Hermel, en el este del Líbano.
    

        La cadena de televisión libanesa asegura que hubo al menos cuatro bombardeos en la madrugada del jueves en los barrios del sur de Beirut, en concreto en las zonas de Haret Hreik, Tahouitet El Ghadir y Al-Awza’i, sin que hubiese aún información sobre qué objetivos fueron atacados ni si hubo víctimas.
    

        El miércoles aviones israelíes ya lanzaron al menos dos bombardeos contra los suburbios del sur de Beirut, conocidos como el Dahye, después de que el Ejército de Israel emitiera una orden de evacuación de un barrio de la zona tras asegurar que alberga instalaciones del grupo chií libanés Hizbulá.
    

        Esta madrugada no hay registro de avisos de evacuación en los canales de comunicación del Ejército israelí.
    

        El Dahye se ha convertido en un extrarradio fantasma desde que Israel inició su campaña de bombardeos masiva contra el Líbano el pasado 23 de septiembre, que inicialmente se concentró en ese suburbio meridional de Beirut.
    

        Por otro lado, al menos 40 personas murieron y otras 53 resultaron heridas este miércoles en una oleada de bombardeos efectuados por Israel contra la región de Baalbek-Hermel, en el este del Líbano, en una de las jornadas más violentas contra esta zona desde el inicio de la campaña aérea israelí hace poco más de un mes.
    

        En las últimas semanas Israel ha intensificado sus bombardeos contra el este del Líbano y contra zonas fronterizas con Siria -también en territorio sirio- puesto que el Ejército del Estado judío alega que el grupo chií libanés Hizbulá almacena armas y municiones en esa región oriental del país de los cedros.
    

        Más de 3.050 personas han muerto y otras 1,2 millones se han visto desplazadas solo en el Líbano desde el inicio de los choques entre Israel y Hizbulá el 8 de octubre de 2023, un día después del estallido de la guerra en la Franja de Gaza.
    

        Sin embargo, se estima que alrededor de 2.000 personas han muerto solo desde el 23 de septiembre, cuando el Ejército israelí lanzó una campaña de bombardeos masiva contra diferentes puntos del Líbano y, una semana después, inició la invasión terrestre en el sur.
    ",7 de noviembre de 2024,9
Israel anuncia la muerte de otro comandante de Hizbulá y prosigue su ofensiva en Líbano,"
        Jerusalén, 6 nov (EFE).- El Ejército israelí anunció este miércoles la muerte del comandante del grupo chií Hizbulá para la región de Jiyam, al que identificó como Husáin Abd al Halim Harb, mientras prosigue con su ofensiva en el sur de Líbano.
    

        Israel acusó al miliciano de “ejecutar numerosos ataques con cohetes contra comunidades de Galilea, y contra la zona de Metula en particular”, según un comunicado castrense.
    

        Las fuerzas israelíes mataron además a varios milicianos en ataques aéreos contra el sur de Líbano a los que identificaron tratando de lanzar cohetes contra el norte de Israel.
    

        En Metula murieron la semana pasada un agricultor israelí y cuatro trabajadores tailandeses tras el impacto de un cohete contra una plantación de manzanos.
    

        Desde que Israel comenzó su escalada bélica contra Hizbulá en Líbano, a finales de septiembre, 15 civiles han perdido la vida en ataques de los chiíes contra el norte del país.
    

        También han muerto 42 soldados israelíes: 33 en combate en el sur de Líbano y 9 en el norte de Israel.
    

        Por otro lado, los bombardeos israelíes contra Hizbulá, concentrados sobre todo en el sur y el este de Líbano pero también en los suburbios del sur de Beirut, han matado a más de un millar de personas y obligado a más de un millón a huir.
    ",6 de noviembre de 2024,7
"Barja, una localidad suní del Líbano, objetivo de una nueva masacre israelí con 30 muertos","
        Noemí Jabois
    

        Barja (Líbano), 6 nov (EFE).- Anoche, Hassan Souleiman no lograba conciliar el sueño solo en su piso de Barja, una zona de mayoría suní apenas a 30 kilómetros al sur de Beirut. Decidió prepararse una 'shisha' o pipa de agua, la primera calada rota por un bombardeo que mató a al menos una treintena de sus vecinos.
    

        Hassan resultó herido en un brazo y una pierna, pero se siente afortunado porque su familia no se encontraba en el edificio, lo que les salvó de la última masacre cometida por Israel en el Líbano: al menos 30 muertos y tres heridos, según el último balance ofrecido por la Defensa Civil Libanesa.
    

        “Mi familia se fue 30 minutos antes del ataque, tenían que ir a un sitio con el marido de mi hermana y sus hijos, Dios les protegió”, dice a EFE el hombre, frente a lo que queda del inmueble atacado anoche, parcialmente derrumbado.
    

        Los equipos de rescate aún buscan a potenciales desaparecidos entre los escombros de este inmueble y otro colindante que también sufrió daños significativos, mientras supervivientes y vecinos se arremolinan en la zona a la espera de que los operarios de la excavadora les den buenas o malas noticia.
    

        Una noche oscura
    

        “Estaba tratando de dormir pero no lo lograba, así que me hice una 'shisha' y me senté aquí, junto a la puerta negra. Cuando me senté, oí el misil antes de que llegara y (el ataque) ocurrió”, relata Hassan, el brazo en cabestrillo por dentro de la sudadera y una quemadura en la pierna a causa de la explosión.
    

        Vivía en la planta baja del edificio desde hacía un mes, después de verse desplazado por segunda vez en un año de conflicto.
    

        Tras el estallido de los enfrentamientos entre Israel y el grupo chií libanés Hizbulá en octubre de 2023, la familia tuvo que abandonar su hogar en Aita al Shaab, cerca de la frontera de facto con el Estado judío, y se trasladó a la zona también meridional de Tiro.
    

        Sin embargo, desde que Israel inició una intensa ofensiva aérea contra el Líbano hace ya mes y medio, ni Tiro ni prácticamente ninguna otra localidad del sur del país son seguras para la población. Alrededor de 1,2 millones de personas como Hassan se han visto desplazadas en el país.
    

        La campaña de bombardeos se ha concentrado principalmente en el sur y este de la nación, y en los suburbios sur de Beirut, de mayoría chií, pero también se producen de forma cada vez menos esporádica contra localidades fuera de esos focos pobladas por otras comunidades.
    

        Suelen tener como objetivo edificios en los que alojan desplazados del sur del país y muchos acusan a Israel de tratar de crear tensiones internas entre comunidades con este tipo de acciones.
    

        Mustafa Damaj, un miembro de la Defensa Civil Libanesa desplegado en el lugar del ataque en Barja, explica a EFE que, de hecho, aquí residía “un porcentaje bajo de desplazados”.
    

        Mujeres y niños
    

        De acuerdo con el rescatista, la mayoría de las víctimas mortales halladas por sus equipos son mujeres y niños, mientra que este miércoles continúan con las labores de búsqueda sin que esté confirmada la presencia de desparecidos ni claro cuántos podrían ser.
    

        “Según la información recabada de los vecinos, podría haber gente; algunos dicen 20, otros diez y otros ocho. Por eso estamos realizando las labores de rescate y el proceso de retirada de escombros con mucho cuidado, en caso de que haya alguien debajo”, afirma el rescatista.
    

        La excavadora va apartando los restos del edificio que se vinieron abajo por el impacto y también los que se desprendieron con otro derrumbe parcial provocado por los efectivos para evitar riesgos durante las labores de búsqueda.
    

        “Algunos de los lados suponían una amenaza para realizar las operaciones de rescate bajo ellos, así que quitamos el riesgo con maquinaria”, indicó Damaj.
    

        Un vecino que pide el anonimato lamenta en el lugar de los hechos cómo en el pasado Europa y Estados Unidos quisieron llevarse sus recursos a cambio de “paz”. “Nos mintieron”, critica, reflejando la frustración de muchos libaneses en medio de la enésima guerra en el país.
    

        “Mientras (Donald) Trump baila por las elecciones, nuestros niños son asesinados por armas estadounidenses”, agrega, poco después de que el candidato a la Casa Blanca declarara su victoria en los recientes comicios en EE.UU. EFE
    

        amo-njd/cgs/jam
    

        (foto)(vídeo)
    ",6 de noviembre de 2024,22
Israel destruye bases subterráneas de Hizbulá en el sur de Líbano y prosigue su ofensiva,"
        Jerusalén, 5 nov (EFE).- El Ejército israelí mantiene su ofensiva en el sur de Líbano, donde en los últimos días destruyó un par de bases subterráneas del grupo chií Hizbulá cercanas a la frontera, según un comunicado castrense.
    

        Durante sus operaciones, las tropas de la Brigada 646 ubicaron una “infraestructura subterránea” bajo una zona montañosa, que se extendía unos 70 metros y estaba equipada con suministros para largas estancias.
    

        Los soldados también encontraron otra estructura subterránea con armas y dependencias.
    

        Ambas estructuras fueron destruidas y las armas confiscadas.
    

        Israel lanzó una ofensiva terrestre contra Hizbulá el pasado 1 de octubre bajo la premisa de que el grupo se estaba preparando para lanzar una invasión de Galilea, después de comenzar una intensa campaña de bombardeos en Líbano que en poco más de un mes ha matado a más de un millar de personas y acabado con la cúpula del grupo chií, considerado el satélite de Irán más poderoso.
    

        Este martes, el Ejército aseguró haber abatido en un ataque aéreo a varios milicianos de Hizbulá que amenazaban a las tropas con proyectiles antitanque en el sur de Líbano.
    

        Mientras, las fuerzas israelíes interceptaron dos drones, uno lanzado por el grupo libanés y otro por la Resistencia Islámica en Irak, en el norte y el sur de Israel, respectivamente.
    

        Este martes, en pleno proceso de negociaciones para lograr un alto el fuego entre Israel y Hizbulá, el medio digital israelí Ynet aseguró que el Ejército ha retirado a varias brigadas del sur de Líbano para descansar, aunque todavía se espera que la ofensiva se prolongue algunas semanas.
    

        EFE preguntó al Ejército sobre la retirada de brigadas, pero no recibió una respuesta.EFE
    

        jdg/pbj/alf
    

        (foto)(vídeo)
    ",5 de noviembre de 2024,11
"Unesco asiste al Líbano para proteger las piezas más valiosas de Tiro, Sidón y Baalbek","
        Naciones Unidas, 5 nov (EFE).- La organización de la ONU para la educación y la cultura (Unesco) está prestando asistencia al Gobierno del Líbano para proteger las piezas arqueológicas más expuestas en los sitios de Tiro, Sidón (ambas en el sur) y Baalbek (este), los más ricos en artefactos antiguos.
    

        El portavoz de la Secretaría General, Stéphane Dujarric, precisó este martes en rueda de prensa que la asistencia de Unesco consiste en un inventario de artefactos 'transportables' y su correspondiente traslado “a locales apropiados más seguros” dentro del país.
    

        Todo esto se hace en coordinación con la Dirección de Antigüedades del Líbano, precisó.
    

        Ayer lunes, el primer ministro libanés, Najib Mikati, lanzó un llamado para proteger el patrimonio arqueológico después de que Israel haya atacado recientemente las localidades de Baalbek y Tiro, que albergan lugares arqueológicos declarados patrimonio de la humanidad por esta organización.
    

        Mikati se refirió específicamente a los ataques contra Tiro, una de las metrópolis más antiguas del mundo ubicada en el sur del Líbano; y la oriental Baalbek, que alberga el imponente complejo de ruinas grecorromanas.
    

        “Llamamos a un alto el fuego inmediato para detener la violencia absurda y proteger el patrimonio cultural en nuestro país, incluidos los lugares arqueológicos antiguos en Baalbek y Tiro”, indicó Mikati, que pidió al Consejo de Seguridad de la ONU que “adopte medidas rápidas y determinantes” para proteger estos sitios.
    

        “Es necesario que trabajemos juntos para garantizar la preservación de esto lugares para las próximas generaciones”, señaló la nota.
    

        En la vecina Siria, los restos arqueológicos han sido una de las 'víctimas colaterales' de la guerra de la década pasada, con importantes daños en el conjunto de Palmira, y lo mismo sucedió en Irak, cuando la caída del régimen de Sadam Huseín trajo como consecuencia el saqueo del Museo de Bagdad, cuyas piezas quedaron dispersadas por todo el mundo.
    ",5 de noviembre de 2024,8
Israel intercepta dos drones lanzados desde Líbano y dos desde “el este”,"
        Jerusalén, 4 nov (EFE).- El Ejército israelí anunció este lunes la intercepción de una serie de drones disparados contra su territorio, de los cuales dos provenían de Líbano y dos “desde el este”, una referencia habitual de las fuerzas armadas israelíes a los proyectiles disparados por la Resistencia Islámica de Irak.
    

        “Dos de los objetos voladores no identificados fueron interceptados tras infiltrarse en territorio israelí, y dos fueron interceptados fuera de Israel”, recogió el comunicado castrense al respecto.
    

        Hacia las 7.45 hora local (5.45 GMT), las Fuerzas del Aire neutralizaron dos drones “del este” en el sur de los Altos del Golán, territorio sirio ocupado por Israel desde 1967.
    

        Israel suele aludir a los drones lanzados por la Resistencia Islámica de Irak como “procedentes del este”, si bien hasta ahora las fuerzas armadas no han confirmado que el primer ataque fuera autoría de este grupo.
    

        Además, el Ejército aseguró que a lo largo de la mañana dos andanadas de 20 y 30 cohetes se dirigieron desde Líbano hacia la Galilea Occidental, en el noroeste del país, y la Alta Galilea, en el norte.
    

        En este sentido, el grupo chií libanés Hizbulá reivindicó esta mañana el lanzamiento de una serie de cohetes dirigidos contra la ciudad israelí de Safed, en la Alta Galilea.
    

        “El Ejército atacó la lanzadera desde la que se dispararon los 30 proyectiles contra la Alta Galilea hacia las 9.25 (7.25 GMT)”, anunció poco después un comunicado castrense.
    

        Por otro lado, las fuerzas armadas anunciaron la muerte en un bombardeo de Abu Ali Rida, un comandante de Hizbulá el área de Baraachit, una localidad del sur de Líbano a unos diez kilómetros de la frontera con Israel.
    

        “Abu Ali Rida era responsable de planear y ejecutar ataques con cohetes y misiles antitanque contra las tropas y supervisaba las actividades de los milicianos de Hizbulá en la zona”, informó el Ejército israelí.
    

        Además, las tropas que intervienen en una invasión terrestre en el sur de Líbano desde el pasado 1 de octubre atacaron una estructura de Hizbulá situada cerca de la frontera con Israel.
    

        Israel mantiene un intercambio constante de fuego en torno a la frontera con Líbano con Hizbulá, que comenzó a disparar cohetes hacia el sur el 8 de octubre del año pasado, en solidaridad con la población gazatí tras el inicio de la guerra en la Franja el 7 de octubre.
    

        El 23 de septiembre de este año, el Ejército israelí intensificó sus ataques contra Líbano con una dura campaña de bombardeos en el sur del país, el Valle de la Becá (este) y Beirut.
    

        Desde entonces hasta ahora, cerca de 3.000 personas han muerto en Líbano por los ataques israelíes, la mayoría en el último mes, según el Ministerio de Sanidad libanés.
    ",4 de noviembre de 2024,13
El sur del Líbano estrena un hospital para quemados por el fósforo blanco de las bombas,"
        Rosa Soto
    

        Sidón (Líbano), 4 nov (EFE).- Pasillos prácticamente vacíos, instalaciones a estrenar y personal médico ultimando detalles para inaugurar mañana martes el Hospital de Turquía, un edificio nuevo dentro del complejo hospitalario de Sidón, en el sur del Líbano, especializado en quemaduras -especialmente las causadas por fósforo blanco- y cirugías de reparación a los heridos de guerra.
    

        En la entrada, las sillas de ruedas esperan alineadas, mientras un bedel acaba de pasar la mopa y un sanitario empuja una camilla hacia uno de los nuevos boxes de urgencia que entrarán este martes en funcionamiento. El objetivo: atender a las personas heridas que llegarán derivadas de otros hospitales de la zona.
    

        “El Hospital de Turquía está especializado en urgencias, heridas de guerra y quemaduras. Mañana abriremos oficialmente para empezar a recibir en Urgencias casos que requieran tratamiento traumatológico y tratamiento de quemaduras, especialmente las causadas por fósforo”, confirma a EFE la directora general del nuevo hospital, Mona Mustafa Teryaki.
    

        Organizaciones como Human Right Watch (HRW) y las autoridades libanesas han denunciado en anteriores ocasiones el uso de armas prohibidas por parte de Israel, como el fósforo blanco, una sustancia que cuando se expone al oxígeno provoca una reacción química capaz de causar quemaduras graves que pueden adentrarse hasta el hueso.
    

        Por ello, el uso del fósforo blanco contra personas está prohibido desde 1997 por la Convención de Ginebra.
    

        Israel niega reiteradamente el uso de esta sustancia química, pese a que HRW documentó su utilización tanto en el Líbano como en la Franja de Gaza durante una serie de ataques en octubre del pasado año.
    

        Apertura parcial
    

        El martes entrará en funcionamiento el 30 % de las instalaciones: sólo dos quirófanos, diez camas de piso quirúrgico postoperatorio, cuatro camas para quemaduras, cuatro camas para cuidados intensivos y diez camas para urgencias, que tiene una capacidad total de 23 camas.
    

        La finalidad es tratar exclusivamente a personas con quemaduras por el conflicto y “a los heridos de guerra que vienen con cirugías programadas de antemano, que se trasladan de un hospital a otro en coordinación con el comité de crisis del Ministerio de Salud Pública”, detalla Teryaki.
    

        Con ello, quieren priorizar el tratamiento de los pacientes que sufren heridas provocadas por ataques israelíes y evitar que los servicios sanitarios se colapsen por la presencia de personas que buscan atención de cualquier otra patología.
    

        En este sentido, recalca que hay un ala específica para el tratamiento ambulatorio de quemaduras. “Si alguien está afectado por quemaduras puede venir aquí al hospital, se le trata con la atención médica necesaria y se va a casa”, explica sobre esta especialidad que dispone para tratamientos de largo plazo.
    

        “En los casos en los que el paciente necesita dormir aquí tenemos cuatro camas para eso, pero la mayoría de los que vienen a través de Urgencias reciben sus tratamientos y se van”, agrega.
    

        Ocho hospitales fuera de servicio
    

        La apertura de este centro hospitalario se enmarca en las acciones del Ministerio de Salud Pública libanés para atender con la mayor diligencia a la población afectada por los bombardeos israelíes que “han provocado que ocho hospitales estés completamente fuera de servicio”, indicó este lunes el titular de la cartera, Firas Abiad.
    

        En su visita al hospital, denunció que el Ejército de Israel continúe lanzando ataques contra el personal médico y de ambulancias y contra las instalaciones sanitarias.
    

        “En las últimas horas han provocado graves daños en el Hospital Gubernamental de Tibnin, así como en el Hospital Gubernamental de Baalbek, además de atacar el perímetro del Hospital Hiram en la región de Tiro, donde se sabe que los ataques israelíes han provocado el cierre de ocho hospitales”, afirmó.
    

        Desde el inicio del conflicto entre Israel y el grupo chií libanés Hizbulá, el Ejército israelí ha atacado y dejado fuera de servicio numerosos hospitales, como el de Salah Ghandour de Bint Jbeil, a unos cinco kilómetros de la frontera, por considerar que escondía un centro de mando de la organización libanesa.
    

        Otros cuatro hospitales del sur del Líbano han quedado completamente fuera de servicio: el gubernamental de Meiss al Jabal y otros dos en Bint Jbeil, el de Marjayún -cuya administración denunció haber sido objeto de ataques con fósforo blanco-, y el Centro Médico Santa Teresa, en los suburbios sur de Beirut.
    

        Hasta el momento, más de 3.000 personas han muerto y otras casi 13.500 han resultado heridas por los ataques lanzados por Israel contra el Líbano en el último año, aunque la inmensa mayoría de estas víctimas se han producido desde el pasado 23 de septiembre, cuando el Estado judío inició una campaña de bombardeos masiva contra el país.
    ",4 de noviembre de 2024,20
