Titular,Cuerpo_limpio,Puntaje_de_representatividad
Israel halla instalaciones de Hizbulá a 200 metros de una base de la FINUL en Líbano,jerusalén nov efe ejército israel aseguró viernes haber hallado centro entrenamiento grupo chií hizbulá metros base misión onu líbano finul mantenido varios incidentes principios octubre soldados israelíes atacado cascos azules milicianos utilizaban complejo entrenar estudiar almacenar grandes cantidades armas recogió comunicado fuerzas armadas hoy según lugar lanzaderas cohetes preparadas atacar territorio israelí redada lugar tropas encontraron documentos describen pautas actuación hizbulá mapas israel información equipamientos ejército israelí trampillas túneles armas complejo desmantelado termina comunicado israel lanzó invasión sur líbano madrugada octubre autoridades apelado varias ocasiones finul abandonar región misión naciones unidas negado mientras producido numerosos incidentes tropas israelíes cascos azules instalaciones encontraban ayer cinco operativos finul resultaron heridos viajaban coche ciudad sureña sidón verse afectado ataque drones israelí mató tres personas largo octubre misión denunció incidentes proyectil israelí impactó base ciudad naqoura hirió dos cascos azules pasado octubre dos tanques israelíes entraron instalaciones finul área ranyah pasado octubre ocho cascos azules resultaron heridos leves impacto proyectil israel base naqoura año intercambio fuego israel hizbulá torno frontera líbano acabado vida personas país mayoría ejército israelí intensificó campaña bombardeos país vecino pasado septiembre fuerzas armadas estiman milicianos grupo chií lado israelí personas fallecido ataques lanzados líbano cuales civiles además soldados muerto combate sur país vecino mantienen invasión terrestre pasado octubre,0.17162816723205132
Ascienden a 40 los muertos en una oleada de bombardeos de Israel contra el este del Líbano,beirut nov efe menos personas murieron resultaron heridas miércoles oleada bombardeos efectuados israel región líbano jornadas violentas zona inicio campaña aérea israelí hace mes gobernador región nororiental bachir khodr dijo cuenta x saldo víctimas resultado incursiones aéreas realizadas aviación israelí todavía continúan trabajos remoción escombros lugar atacado según ministerio salud pública mayor número víctimas registró localidad naseriya cercana paso fronterizo masnaa siria líbano personas murieron resultaron heridas asimismo menos nueve personas perecieron quince resultaron heridas bombardeo barrio shaiqan histórica ciudad baalbek población ejército israelí ordenado evacuar múltiples ocasiones últimos días ministerio registró fallecidos heridos siete localidades tamnine tahta ram sharqi shawagir ain ansar balmira nasiriya anteriormente agencia nacional noticias libanesa nna informado víctimas localidad fronteriza siria mishrifa norte hermel ministerio advierte operaciones rescate continúan marcha continúa búsqueda desaparecidos escombros últimas semanas israel intensificado bombardeos líbano zonas fronterizas siria territorio puesto ejército judío alega grupo chií libanés hizbulá almacena armas municiones región oriental país cedros personas muerto millones visto desplazadas solo líbano inicio choques israel hizbulá octubre día después estallido guerra franja gaza embargo estima alrededor personas muerto solo septiembre ejército israelí lanzó campaña bombardeos masiva diferentes puntos líbano semana después inició invasión terrestre sur,0.1864541887151544
Al menos 60 muertos en bombardeos israelíes contra Líbano desde el martes por la noche,martes noche miércoles tarde ataques aéreos israel dejado decenas víctimas mortales además heridos según distintas fuentes defensa civil libanesa encarga rescate muertos heridos recuperado cuerpos debajo escombros edificio apartamentos localidad barja tal recoje agencia noticias ap ataque lugar noche martes aviso previo según ap barja encuentra sur beirut sido blanco habitual ataques israelíes comenzó ofensiva líbano finales septiembre población mayoritariamente suní mientras aviación israelí objetivo zonas mayoría chií grupo hizbulá mayor presencia apoyo precisamente miércoles israel atacado provincia baalbek hermel líbano considerado bastiones hizbulá menos personas muerto sufrido heridas total bombardeos israelíes provincia tal anunciado gobernador través red social bachir khodr ofrecido detalles parte ejército israelí informado ataques provincia baalbek hermel notificiado lanzamiento proyectiles líbano israel horas locales españa día hoy según agencia nacional noticias libanesa ann menos cinco personas murieron bombardeo barrio shaiqan histórica ciudad baalbek población ejército israelí ordenado evacuar múltiples ocasiones últimos días ann citada agencia efe indicado siete personas perdieron vida localidad fronteriza siria mishrifa equipos rescate contabilizado varios heridos continúan trabajos desescombro número víctimas mortales podría aumentar parte ataque aéreo efectuado primera hora mañana ciudad ain oriental valle bekaa provocado siete muertos dos heridos destrucción completa casa según ann últimas semanas israel intensificado bombardeos líbano zonas fronterizas siria alegando hizbulá almacena armas municiones región oriental país pasado acusado grupo chií recibir armamento irán través territorio sirio solo respondemos socios socias personas creen trabajo importa si lees habitualmente crees periodismo valores pedimos colaboración podamos seguir siendo independientes llevará menos minuto puedes hacerlo aquí cuotas van parezca cantidad pequeña sumada muchas personas hace posible personas pequeñas decisiones pueden hacer grandes posible periodismo independiente última hora miércoles israel atacado vez suburbios sur beirut sido duramente golpeados aviación asesinado líder hizbulá hasán nasrala finales septiembre ejército israelí informado atacado centros mando almacenes armas infraestructura terrorista área dahie tal denomina gran barriada sur capital octubre año pasado hizbulá israel empezaron intercambiarse fuego casi diario fallecido líbano personas resultado heridas gran mayoría pasadas semanas ejército hebreo emprendió campaña bombardeos invadió tierra sur país vecino,0.21055310174558858
Nuevos bombardeos al sur de Beirut tras 40 muertos en oleada de ataques al este del Líbano,beirut nov efe aviones combate israelíes lanzaron jueves varios bombardeos suburbios sur beirut según cadena televisión libanesa jadeed después menos personas murieran tras ataques ejército israelí miércoles región líbano cadena televisión libanesa asegura menos cuatro bombardeos madrugada jueves barrios sur beirut concreto zonas haret hreik tahouitet ghadir i aún información objetivos atacados si víctimas miércoles aviones israelíes lanzaron menos dos bombardeos suburbios sur beirut conocidos dahye después ejército israel emitiera orden evacuación barrio zona tras asegurar alberga instalaciones grupo chií libanés hizbulá madrugada registro avisos evacuación canales comunicación ejército israelí dahye convertido extrarradio fantasma israel inició campaña bombardeos masiva líbano pasado septiembre inicialmente concentró suburbio meridional beirut lado menos personas murieron resultaron heridas miércoles oleada bombardeos efectuados israel región líbano jornadas violentas zona inicio campaña aérea israelí hace mes últimas semanas israel intensificado bombardeos líbano zonas fronterizas siria territorio puesto ejército judío alega grupo chií libanés hizbulá almacena armas municiones región oriental país cedros personas muerto millones visto desplazadas solo líbano inicio choques israel hizbulá octubre día después estallido guerra franja gaza embargo estima alrededor personas muerto solo septiembre ejército israelí lanzó campaña bombardeos masiva diferentes puntos líbano semana después inició invasión terrestre sur,0.19339349986615442
Israel anuncia la muerte de otro comandante de Hizbulá y prosigue su ofensiva en Líbano,jerusalén nov efe ejército israelí anunció miércoles muerte comandante grupo chií hizbulá región jiyam identificó husáin abd halim harb mientras prosigue ofensiva sur líbano israel acusó miliciano ejecutar numerosos ataques cohetes comunidades galilea zona metula particular según comunicado castrense fuerzas israelíes mataron además varios milicianos ataques aéreos sur líbano identificaron tratando lanzar cohetes norte israel metula murieron semana pasada agricultor israelí cuatro trabajadores tailandeses tras impacto cohete plantación manzanos israel comenzó escalada bélica hizbulá líbano finales septiembre civiles perdido vida ataques chiíes norte país muerto soldados israelíes combate sur líbano norte israel lado bombardeos israelíes hizbulá concentrados sur líbano suburbios sur beirut matado millar personas obligado millón huir,0.17413090935982306
"Barja, una localidad suní del Líbano, objetivo de una nueva masacre israelí con 30 muertos",noemí jabois barja líbano nov efe anoche hassan souleiman lograba conciliar sueño solo piso barja zona mayoría suní apenas kilómetros sur beirut decidió prepararse pipa agua primera calada rota bombardeo mató menos treintena vecinos hassan resultó herido brazo pierna afortunado familia encontraba edificio salvó última masacre cometida israel líbano menos muertos tres heridos según último balance ofrecido defensa civil libanesa familia minutos ataque ir sitio marido hermana hijos dios protegió dice efe hombre frente queda inmueble atacado anoche parcialmente derrumbado equipos rescate aún buscan potenciales desaparecidos escombros inmueble colindante sufrió daños significativos mientras supervivientes vecinos arremolinan zona espera operarios excavadora den buenas malas noticia noche oscura tratando dormir lograba así hice senté aquí junto puerta negra senté oí misil llegara ataque ocurrió relata hassan brazo cabestrillo dentro sudadera quemadura pierna causa explosión vivía planta baja edificio hacía mes después verse desplazado segunda vez año conflicto tras estallido enfrentamientos israel grupo chií libanés hizbulá octubre familia abandonar hogar aita shaab cerca frontera facto judío trasladó zona meridional tiro embargo israel inició intensa ofensiva aérea líbano hace mes medio tiro prácticamente ninguna localidad sur país seguras población alrededor millones personas hassan visto desplazadas país campaña bombardeos concentrado principalmente sur nación suburbios sur beirut mayoría chií producen forma cada vez menos esporádica localidades focos pobladas comunidades suelen tener objetivo edificios alojan desplazados sur país acusan israel tratar crear tensiones internas comunidades tipo acciones mustafa damaj miembro defensa civil libanesa desplegado lugar ataque barja explica efe hecho aquí residía porcentaje bajo desplazados mujeres niños acuerdo rescatista mayoría víctimas mortales halladas equipos mujeres niños mientra miércoles continúan labores búsqueda confirmada presencia desparecidos claro cuántos podrían ser según información recabada vecinos podría haber gente dicen diez ocho realizando labores rescate proceso retirada escombros cuidado caso alguien debajo afirma rescatista excavadora va apartando restos edificio vinieron abajo impacto desprendieron derrumbe parcial provocado efectivos evitar riesgos labores búsqueda lados suponían amenaza realizar operaciones rescate bajo así quitamos riesgo maquinaria indicó damaj vecino pide anonimato lamenta lugar hechos cómo pasado europa unidos quisieron llevarse recursos cambio paz mintieron critica reflejando frustración libaneses medio enésima guerra país mientras donald trump baila elecciones niños asesinados armas estadounidenses agrega después candidato casa blanca declarara victoria recientes comicios efe foto vídeo,0.16643691988395434
Israel destruye bases subterráneas de Hizbulá en el sur de Líbano y prosigue su ofensiva,jerusalén nov efe ejército israelí mantiene ofensiva sur líbano últimos días destruyó par bases subterráneas grupo chií hizbulá cercanas frontera según comunicado castrense operaciones tropas brigada ubicaron infraestructura subterránea bajo zona montañosa extendía metros equipada suministros largas estancias soldados encontraron estructura subterránea armas dependencias ambas estructuras destruidas armas confiscadas israel lanzó ofensiva terrestre hizbulá pasado octubre bajo premisa grupo preparando lanzar invasión galilea después comenzar intensa campaña bombardeos líbano mes matado millar personas acabado cúpula grupo chií considerado satélite irán poderoso martes ejército aseguró haber abatido ataque aéreo varios milicianos hizbulá amenazaban tropas proyectiles antitanque sur líbano mientras fuerzas israelíes interceptaron dos drones lanzado grupo libanés resistencia islámica irak norte sur israel respectivamente martes pleno proceso negociaciones lograr alto fuego israel hizbulá medio digital israelí ynet aseguró ejército retirado varias brigadas sur líbano descansar aunque todavía espera ofensiva prolongue semanas efe preguntó ejército retirada brigadas recibió foto vídeo,0.17255796225775605
"Unesco asiste al Líbano para proteger las piezas más valiosas de Tiro, Sidón y Baalbek",naciones unidas nov efe organización onu educación cultura unesco prestando asistencia gobierno líbano proteger piezas arqueológicas expuestas sitios tiro sidón ambas sur baalbek ricos artefactos antiguos portavoz secretaría general stéphane dujarric precisó martes rueda prensa asistencia unesco consiste inventario artefactos correspondiente traslado locales apropiados seguros dentro país hace coordinación dirección antigüedades líbano precisó ayer lunes primer ministro libanés najib mikati lanzó llamado proteger patrimonio arqueológico después israel atacado recientemente localidades baalbek tiro albergan lugares arqueológicos declarados patrimonio humanidad organización mikati refirió específicamente ataques tiro metrópolis antiguas mundo ubicada sur líbano oriental baalbek alberga imponente complejo ruinas grecorromanas llamamos alto fuego inmediato detener violencia absurda proteger patrimonio cultural país incluidos lugares arqueológicos antiguos baalbek tiro indicó mikati pidió consejo seguridad onu adopte medidas rápidas determinantes proteger sitios necesario trabajemos juntos garantizar preservación lugares próximas generaciones señaló nota vecina siria restos arqueológicos sido colaterales guerra década pasada importantes daños conjunto palmira mismo sucedió irak caída régimen sadam huseín trajo consecuencia saqueo museo bagdad cuyas piezas quedaron dispersadas mundo,0.10300087579422308
Israel intercepta dos drones lanzados desde Líbano y dos desde “el este”,jerusalén nov efe ejército israelí anunció lunes intercepción serie drones disparados territorio cuales dos provenían líbano dos referencia habitual fuerzas armadas israelíes proyectiles disparados resistencia islámica irak dos objetos voladores identificados interceptados tras infiltrarse territorio israelí dos interceptados israel recogió comunicado castrense respecto hacia hora local gmt fuerzas aire neutralizaron dos drones sur altos golán territorio sirio ocupado israel israel suele aludir drones lanzados resistencia islámica irak procedentes si bien ahora fuerzas armadas confirmado primer ataque autoría grupo además ejército aseguró largo mañana dos andanadas cohetes dirigieron líbano hacia galilea occidental noroeste país alta galilea norte grupo chií libanés hizbulá reivindicó mañana lanzamiento serie cohetes dirigidos ciudad israelí safed alta galilea ejército atacó lanzadera dispararon proyectiles alta galilea hacia gmt anunció después comunicado castrense lado fuerzas armadas anunciaron muerte bombardeo abu ali rida comandante hizbulá área baraachit localidad sur líbano diez kilómetros frontera israel abu ali rida responsable planear ejecutar ataques cohetes misiles antitanque tropas supervisaba actividades milicianos hizbulá zona informó ejército israelí además tropas intervienen invasión terrestre sur líbano pasado octubre atacaron estructura hizbulá situada cerca frontera israel israel mantiene intercambio constante fuego torno frontera líbano hizbulá comenzó disparar cohetes hacia sur octubre año pasado solidaridad población gazatí tras inicio guerra franja octubre septiembre año ejército israelí intensificó ataques líbano dura campaña bombardeos sur país valle becá beirut entonces ahora cerca personas muerto líbano ataques israelíes mayoría último mes según ministerio sanidad libanés,0.18551358500492052
El sur del Líbano estrena un hospital para quemados por el fósforo blanco de las bombas,rosa soto sidón líbano nov efe pasillos prácticamente vacíos instalaciones estrenar personal médico ultimando detalles inaugurar mañana martes hospital turquía edificio nuevo dentro complejo hospitalario sidón sur líbano especializado quemaduras causadas fósforo cirugías reparación heridos guerra entrada sillas ruedas esperan alineadas mientras bedel acaba pasar mopa sanitario empuja camilla hacia nuevos boxes urgencia entrarán martes funcionamiento objetivo atender personas heridas llegarán derivadas hospitales zona hospital turquía especializado urgencias heridas guerra quemaduras mañana abriremos oficialmente empezar recibir urgencias casos requieran tratamiento traumatológico tratamiento quemaduras especialmente causadas fósforo confirma efe directora general nuevo hospital mona mustafa teryaki organizaciones human right watch hrw autoridades libanesas denunciado anteriores ocasiones uso armas prohibidas parte israel fósforo blanco sustancia expone oxígeno provoca reacción química capaz causar quemaduras graves pueden adentrarse hueso ello uso fósforo blanco personas prohibido convención ginebra israel niega reiteradamente uso sustancia química pese hrw documentó utilización líbano franja gaza serie ataques octubre pasado año apertura parcial martes entrará funcionamiento instalaciones sólo dos quirófanos diez camas piso quirúrgico postoperatorio cuatro camas quemaduras cuatro camas cuidados intensivos diez camas urgencias capacidad total camas finalidad tratar exclusivamente personas quemaduras conflicto heridos guerra vienen cirugías programadas antemano trasladan hospital coordinación comité crisis ministerio salud pública detalla teryaki ello quieren priorizar tratamiento pacientes sufren heridas provocadas ataques israelíes evitar servicios sanitarios colapsen presencia personas buscan atención cualquier patología recalca ala específica tratamiento ambulatorio quemaduras si alguien afectado quemaduras puede venir aquí hospital trata atención médica necesaria va casa explica especialidad dispone tratamientos largo plazo casos paciente necesita dormir aquí cuatro camas mayoría vienen través urgencias reciben tratamientos van agrega ocho hospitales servicio apertura centro hospitalario enmarca acciones ministerio salud pública libanés atender mayor diligencia población afectada bombardeos israelíes provocado ocho hospitales completamente servicio indicó lunes titular cartera firas abiad visita hospital denunció ejército israel continúe lanzando ataques personal médico ambulancias instalaciones sanitarias últimas horas provocado graves daños hospital gubernamental tibnin así hospital gubernamental baalbek además atacar perímetro hospital hiram región tiro sabe ataques israelíes provocado cierre ocho hospitales afirmó inicio conflicto israel grupo chií libanés hizbulá ejército israelí atacado dejado servicio numerosos hospitales salah ghandour bint jbeil cinco kilómetros frontera considerar escondía centro mando organización libanesa cuatro hospitales sur líbano quedado completamente servicio gubernamental meiss jabal dos bint jbeil marjayún administración denunció haber sido objeto ataques fósforo centro médico santa teresa suburbios sur beirut momento personas muerto casi resultado heridas ataques lanzados israel líbano último año aunque inmensa mayoría víctimas producido pasado septiembre judío inició campaña bombardeos masiva país,0.14754179444663024
